id	id_factus	documento	prefijo	numero_desde	numero_hasta	numero_actual	resolucion	fecha_resolucion	llave_tecnica	estado	fecha_sincronizacion
1	1041	Nota Crédito	NC	NULL	NULL	10	NULL	NULL	NULL	1	2026-01-26 05:57:26
2	1042	Nota Débito	ND	NULL	NULL	1	NULL	NULL	NULL	1	2026-01-26 05:57:26
3	1043	Nota de Ajuste Documento Soporte	NA	NULL	NULL	1	NULL	NULL	NULL	1	2026-01-26 05:57:26
4	1040	Factura de Venta	FEFG	1	150	78	18764104541792	NULL	ea87605658e0ac3f515f3a72e1f51935c8f8b9cfff0a6c38f5e53e93a0e83e46	1	2026-01-26 05:57:26
29	1191	Nota Crédito	NC	0	16000000	45		NULL	NULL	1	2026-03-02 02:55:30
30	1192	Nota Débito	ND	0	16000000	1		NULL	NULL	1	2026-03-02 02:55:30
31	1193	Nota de Ajuste Documento Soporte	NA	0	16000000	64		NULL	NULL	1	2026-03-02 02:55:30
32	1194	Nómina	NEF	0	16000000	1		NULL	NULL	1	2026-03-02 02:55:30
33	1195	Nota de Ajuste Nómina	NAN	0	16000000	1		NULL	NULL	1	2026-03-02 02:55:30
34	1196	Nota de eliminación de nómina	NEN	0	16000000	1		NULL	NULL	1	2026-03-02 02:55:30
35	1190	Factura de Venta	SETP	990000000	995000000	990000185	18760000001	NULL	fc8eac422eba16e22ffd8c6f94b3f40a6e38162c	1	2026-03-02 02:55:30
120	1410	Documento Soporte	SEDS	984000000	985000000	984000041	18760000001	NULL	NULL	1	2026-03-02 02:55:30
