id	numero_factura	resolucion_id	estado_dian	fecha
754	NULL	35	pendiente	2026-03-07 22:50:28
743	SETP990000185	35	enviada	2026-03-06 23:02:48
742	SETP990000184	35	enviada	2026-03-06 23:01:42
741	SETP990000181	35	enviada	2026-03-06 01:54:22
737	SETP990000180	35	enviada	2026-03-02 03:59:44
736	SETP990000179	35	enviada	2026-03-02 03:37:48
735	SETP990000178	35	enviada	2026-03-02 02:38:53
734	SETP990000177	35	enviada	2026-03-02 02:38:22
731	SETP990000176	35	enviada	2026-03-01 03:50:52
728	SETP990000174	35	enviada	2026-02-22 13:20:04
